degree,k,method,ok_pct,f_mean,f_p90,f_p99,t_mean_ms,t_std_ms,t_p50_ms,t_p90_ms,t_p99_ms,source_log
35,10,anchored,85.02,5.967e-12,1.902e-11,8.578e-11,4.568,2.09,3.831,6.869,12.81,eval_k_sweep_deg35.log
35,10,ann,85.03,6.193e-12,2e-11,8.641e-11,4.147,1.948,3.347,6.425,11.966,eval_k_sweep_deg35.log
35,10,lstm,85.13,5.638e-12,1.66e-11,8.662e-11,4.41,2.1,3.572,6.82,12.877,eval_k_sweep_deg35.log
35,10,anchored_fb,85.16,6.036e-12,1.922e-11,8.594e-11,4.571,2.093,3.832,6.878,12.81,eval_k_sweep_deg35.log
35,15,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
35,15,anchored,85.04,5.54e-12,1.7e-11,8.417e-11,8.01,3.526,7.053,12.769,20.328,eval_k_sweep_deg35.log
35,15,ann,85.04,5.886e-12,1.818e-11,8.545e-11,6.859,3.168,5.677,10.81,17.962,eval_k_sweep_deg35.log
35,15,lstm,85.14,5.741e-12,1.689e-11,8.607e-11,7.28,3.086,6.11,11.418,18.643,eval_k_sweep_deg35.log
35,15,anchored_fb,85.16,5.594e-12,1.757e-11,8.447e-11,8.012,3.528,7.054,12.793,20.328,eval_k_sweep_deg35.log
35,20,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
35,20,anchored,85.05,5.692e-12,1.801e-11,8.539e-11,9.685,4.348,8.601,15.54,23.047,eval_k_sweep_deg35.log
35,20,ann,85.04,5.867e-12,1.802e-11,8.529e-11,8.427,3.923,7.005,13.58,20.49,eval_k_sweep_deg35.log
35,20,lstm,85.14,5.744e-12,1.721e-11,8.468e-11,8.957,3.916,7.563,14.276,21.333,eval_k_sweep_deg35.log
35,20,anchored_fb,85.16,5.744e-12,1.843e-11,8.546e-11,9.687,4.35,8.602,15.545,23.047,eval_k_sweep_deg35.log
35,25,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
35,25,anchored,85.1,5.642e-12,1.716e-11,8.468e-11,8.985,3.86,7.209,15.109,20.819,eval_k_sweep_deg35.log
35,25,ann,85.05,5.649e-12,1.703e-11,8.451e-11,8.506,3.83,6.641,14.983,20.225,eval_k_sweep_deg35.log
35,25,lstm,85.15,5.884e-12,1.792e-11,8.592e-11,9.109,3.98,7.109,16.009,21.411,eval_k_sweep_deg35.log
35,25,anchored_fb,85.16,5.663e-12,1.73e-11,8.464e-11,8.987,3.862,7.209,15.109,20.819,eval_k_sweep_deg35.log
35,30,baseline,85.06,4.434e-11,8.615e-11,9.864e-11,2.032,0.354,2.107,2.391,3.137,eval_k_sweep_deg35.log
35,30,anchored,85.02,5.688e-12,1.712e-11,8.476e-11,10.559,4.18,8.935,17.305,22.636,eval_k_sweep_deg35.log
35,30,ann,84.73,5.728e-12,1.769e-11,8.412e-11,10.198,4.186,8.441,17.381,22.038,eval_k_sweep_deg35.log
35,30,lstm,85.12,5.988e-12,1.858e-11,8.715e-11,10.981,4.085,9.211,18.315,23.223,eval_k_sweep_deg35.log
35,30,anchored_fb,85.15,5.758e-12,1.747e-11,8.499e-11,10.562,4.184,8.935,17.31,22.636,eval_k_sweep_deg35.log
